X;Y;osm_id;name;operator;accepts_bottle;indoor;offers_cold_water;offers_warm_water;offers_hot_water;fee;description;com_insee;com_nom
5.7810925;45.3202784004345;node/7792141903;;;;;;;;;;"38442";Saint-Pierre-de-Chartreuse
5.9355836;45.1892107004491;node/7792573437;;Fontaine du Refuge du Pré Mollard;;;;;;;;"38120";La Combe-de-Lancey
5.6756295;45.2927361004377;node/7799264023;;;yes;no;;;;no;;"38565";Voreppe
5.7672484;45.289837400438;node/7799418607;;;yes;no;;;;no;;"38472";Sarcenas
5.7469842;45.1461997004536;node/7800253179;;;;;;;;;;"38158";Eybens
5.7463646;45.1471565004535;node/7800285295;;;;;;;;;;"38158";Eybens
5.5672964;45.3192809004346;node/7801123679;;;yes;;;;;;;"38239";Moirans
5.5578737;44.9746679004706;node/7803091703;;;;;;;;;;"38090";Château-Bernard
5.9436102;45.3949184004257;node/7813612834;Bassin;;;;;;;;;"38418";Sainte-Marie-du-Mont
5.6268692;45.3026129004365;node/7816297525;;;yes;;;;;no;;"38565";Voreppe
5.5203445;45.3199415004345;node/7817474706;;;yes;;;;;no;;"38566";Vourey
5.22572;45.6186519003975;node/7827793410;;;;;;;;;;"38193";L'Isle-d'Abeau
5.2255369;45.6188144003975;node/7827793411;;;;;;;;;;"38193";L'Isle-d'Abeau
5.225269;45.6191741003974;node/7827793412;;;;;;;;;;"38193";L'Isle-d'Abeau
6.0175822;44.8809913004792;node/7837232048;;;;;;;;;;"38522";Valjouffrey
6.0792135;44.9949136004687;node/7844139979;;;yes;;;;;no;;"38253";Les Deux Alpes
5.9927408;44.9173477004759;node/7844278873;Source de la Combe des Drayes;;;;;;;;;"38073";Chantepérier
5.7369239;45.1962015004483;node/7844305797;;;yes;;;;;no;;"38185";Grenoble
6.0614403;44.9739731004707;node/7845456124;;;yes;;;;;no;;"38052";Le Bourg-d'Oisans
5.9951516;45.3736220004283;node/7846869571;Fontaine à Eau;Mairie Du Cheylas;;;;;;;;"38100";Le Cheylas
5.5301196;44.9972979004685;node/7858505912;Source de la Combe de Fer;;;;;;;;"200m après l'entrée du gouffre, sur la paroi de droite (sous terre donc).";"38129";Corrençon-en-Vercors
5.685874;45.0889420004595;node/7890161282;;;;;;;;;;"38524";Varces-Allières-et-Risset
5.6758215;45.2416652004434;node/7898236103;;;yes;;;;;no;;"38382";Saint-Égrève
5.4682406;45.4323572004212;node/7942487174;;;;;;;;;;"38287";Oyeu
5.826206;45.044250900464;node/794278253;Bassin;;;;;;;;;"38364";Saint-Barthélemy-de-Séchilienne
5.7821979;44.7753756004881;node/795256161;;;;;;;;;;"38366";Saint-Baudille-et-Pipet
5.913479;45.3063219004361;node/7955013932;;;;;;;;;;"38214";Lumbin
5.9141228;45.3082503004359;node/7955073517;;;;;;;;;;"38214";Lumbin
5.9294273;45.3220716004343;node/7955419374;;;;;;;;;;"38503";La Terrasse
5.8831569;45.2844395004386;node/7955874377;;;;;;;;;;"38140";Crolles
5.6947267;45.189933200449;node/7968907187;;;;;;;;;;"38169";Fontaine
5.7781082;45.0752088004609;node/7970305282;;;;;;;;no;Toilettes automatiques;"38562";Vizille
5.7776252;45.074572600461;node/7970555990;;;;;;;;no;;"38562";Vizille
5.7874685;45.2129984004465;node/8014611655;;;;;;;;;;"38229";Meylan
5.7420773;45.1514571004531;node/8018411331;;;;;;;;;;"38158";Eybens
5.6861671;44.7857330004873;node/8023072952;;;;;;;;;;"38321";Prébois
5.62397;44.8855763004788;node/8039403295;;;;;;;;;;"38342";Roissard
5.5712804;44.8114351004851;node/8040732877;;;;;;;;;;"38103";Chichilianne
5.5717602;44.8109884004852;node/8040732879;;;;;;;;;;"38103";Chichilianne
5.7477457;45.1592541004522;node/8075828223;;;;;;;;;;"38158";Eybens
5.7091685;45.1836412004497;node/8077589583;;;;;;;;;;"38185";Grenoble
6.0782715;44.9885044004693;node/812017847;;;;;;;;;;"38253";Les Deux Alpes
6.0644186;44.9747161004706;node/812024392;;;yes;;;;;no;;"38052";Le Bourg-d'Oisans
5.7755575;45.0787654004605;node/8120700856;Lavoir de la Tour;;;;;;;;;"38562";Vizille
5.6135713;45.1289881004554;node/8128500961;Fontaine des Jeux;;;;;;;;;"38205";Lans-en-Vercors
5.6200033;45.3533110004307;node/8151197571;;;;;;;;no;;"38133";Coublevie
5.9708621;45.0465412004637;node/8163970362;;;;;;;;;;"38285";Ornon
5.9750055;45.0368463004647;node/8166974195;;;;;;;;;;"38285";Ornon
5.9881857;45.0516622004632;node/8168136164;;;;;;;;;;"38285";Ornon
5.9779595;45.0393038004645;node/8168136175;;;;;;;;;;"38285";Ornon
5.9754215;45.0371891004646;node/8168136178;;;;;;;;;;"38285";Ornon
5.9749642;45.0366214004647;node/8168136180;;;;;;;;;;"38285";Ornon
5.9773625;45.0484190004636;node/8174101544;;;;;;;;;;"38285";Ornon
5.9778949;45.0474151004637;node/8174101546;;;;;;;;;;"38285";Ornon
5.9738087;45.0526598004631;node/8174101561;;;;;;;;;;"38285";Ornon
5.7443097;45.1731164004508;node/8176472287;;;;;;;;;;"38185";Grenoble
5.7715345;45.1814882004499;node/8190367220;;;;;;;;;;"38421";Saint-Martin-d'Hères
5.9162743;45.4163718004232;node/819896818;;;;;;;;;;"38418";Sainte-Marie-du-Mont
5.7249717;45.1848170004495;node/8210548317;;;;;;;;;;"38185";Grenoble
5.7451563;45.1724589004509;node/8238112222;;;;;;;;;;"38185";Grenoble
5.6715129;45.2423014004433;node/8247264867;;;;;;;;;;"38382";Saint-Égrève
5.717069;45.1876217004492;node/8255443817;;;;;;;;;;"38185";Grenoble
5.7992653;45.2109763004467;node/8260268461;;;;;;;;;;"38229";Meylan
5.8010858;45.2258688004451;node/8262769988;;;;;;;;;;"38249";Montbonnot-Saint-Martin
5.6102177;45.2876652004382;node/8272197968;;;;;;;;;;"38540";Veurey-Voroize
6.1484345;45.3600689004299;node/8285851532;;;;;;;;;;"38006";Allevard
5.6316121;45.171135800451;node/831763541;;;;;;;;;;"38433";Saint-Nizier-du-Moucherotte
5.1751017;45.6131382003982;node/8318661308;;;;no;;;;;;"38530";Vaulx-Milieu
5.6677631;45.1717282004509;node/831933798;;;;;;;;;;"38485";Seyssinet-Pariset
5.6057002;45.3975852004254;node/8377824495;;;;;;;;;;"38432";Saint-Nicolas-de-Macherin
5.3459872;45.0609797004623;node/8436039690;;;;;;;;;;"38319";Pont-en-Royans
5.3425933;45.0627233004621;node/8436039691;;;yes;;;;;;;"38319";Pont-en-Royans
5.336028;45.064298800462;node/8436039693;;;;;;;;;;"38319";Pont-en-Royans
5.1602143;45.5891124004014;node/8451032131;;;;;;;;;;"38339";Roche
5.7065675;45.1763733004505;node/8464328323;;;yes;;;;;;;"38185";Grenoble
5.7826599;44.9244935004753;node/8467805623;;Supermarché Casino;;;;;;yes;Station de remplissage de reservoir pour camping car. cout 2€ (02/2021) pour 20 min à tres faible debit;"38499";Susville
5.7183325;44.9565738004723;node/8467816455;;Ville de La Motte-Saint-Martin;;;;;;no;Station de remplissage de reservoir pour camping car.;"38266";La Motte-Saint-Martin
5.5377568;45.4883930004143;node/8468074211;;;yes;;;;;;;"38520";Valencogne
5.5163125;45.4328751004212;node/8474902188;;;yes;;;;;no;;"38082";Charavines
5.5154077;45.4326450004212;node/8474902189;;;yes;;;;;no;;"38082";Charavines
5.5052047;45.4564533004183;node/8474902192;;;;;;;;;;"38292";Villages du Lac de Paladru
5.8255307;45.1494060004533;node/8491505935;;Ville de Saint-Martin-d'Uriage;;;;;;yes;Station de remplissage de reservoir pour camping car. L'eau est disponible pour 2€ (02/2021);"38422";Saint-Martin-d'Uriage
5.5533929;44.9613395004719;node/8498048754;;;;;;;;;;"38355";Saint-Andéol
5.5537791;44.9611740004719;node/8498048755;;;;;;;;;;"38355";Saint-Andéol
5.727514;45.1847304004496;node/8500391608;;;;;;;;;;"38185";Grenoble
5.6397182;45.3991922004252;node/8512786627;;;;;;;;;;"38383";Saint-Étienne-de-Crossey
6.0466696;44.8607511004809;node/851611363;;;;;;;;;;"38522";Valjouffrey
5.7211543;45.1828974004497;node/8517838718;;Ville de Grenoble;yes;;;;;no;;"38185";Grenoble
5.9649405;45.4514458004189;node/8543258392;;;;;;;;;;"38075";Chapareillan
5.7280866;45.1851364004495;node/8551035417;;;;;;;;;;"38185";Grenoble
5.7879212;45.2134321004465;node/8558412697;;;;;;;;;;"38229";Meylan
5.7721908;45.1914684004488;node/8561352269;;;;;;;;;;"38179";Gières
5.6953379;45.1851450004495;node/8572239287;;;;;;;;;;"38485";Seyssinet-Pariset
5.7292347;45.1848358004496;node/8576377319;;Ville de Grenoble;yes;;;;;no;;"38185";Grenoble
5.7680088;45.2231809004454;node/8588140528;;;;;;;;;;"38126";Corenc
5.7260441;45.1755834004505;node/8589928414;;;;;;;;;;"38185";Grenoble
5.7417693;45.1751538004506;node/8603249780;;;;;;;;;;"38185";Grenoble
5.7416196;45.1718139004509;node/8617501313;;;;;;;;;;"38185";Grenoble
5.908394;44.938496500474;node/8617831251;Source de l'Échine;;;;;;;;;"38283";Oris-en-Rattier
5.374827;45.2580479004416;node/8635315422;;;;;;;;;;"38275";Serre-Nerpol
5.7294212;45.1936391004486;node/8638556242;;;;;;;;;;"38185";Grenoble
5.7173769;45.1744052004507;node/8644369319;;;;;;;;;;"38185";Grenoble
5.6834413;44.8266520004839;node/8658304538;;;;;;;;;;"38127";Cornillon-en-Trièves
5.1596249;45.5885835004014;node/8659607678;;;;;;;;;;"38339";Roche
5.7170531;45.1826503004498;node/8664752396;;;;;;;;;;"38185";Grenoble
5.7649112;45.1941692004485;node/8710203713;;;;;;;;;;"38421";Saint-Martin-d'Hères
5.9542984;44.949773800473;node/8715805628;Source d'Issarton le Haut;;;;;;;;;"38073";Chantepérier
5.7144655;45.1871177004493;node/8726239163;;Ville de Grenoble;yes;;;;;no;;"38185";Grenoble
5.9530062;44.9298694004748;node/8728127881;Source du Dourdouillet;;;;;;;;;"38073";Chantepérier
5.8478787;44.9529185004727;node/8728502354;;;yes;;;;;;;"38521";La Valette
5.614756;45.3328654004331;node/8729517293;;;;;;;;;;"38061";La Buisse
5.4683013;45.2977209004371;node/8730399362;;;;;;;;;;"38517";Tullins
4.9600315;45.5153682004109;node/8733863294;;;yes;;;;;no;;"38157";Estrablin
5.826136;45.0444984004639;node/873922618;Lavoir;;;;;;;;;"38364";Saint-Barthélemy-de-Séchilienne
5.9673231;45.458702800418;node/8755222720;;;;;;;;;;"38075";Chapareillan
5.717264;44.8296448004836;node/8809836763;;;;;;;;;;"38127";Cornillon-en-Trièves
